"OUT","Vaalilaji","Vaalipiirinumero","Kuntanumero","Tietuetyyppi","Äänestysaluetunnus","Vaalipiirin tunnus suomeksi","Vaalipiirin tunnus ruotsiksi","Pysyvä puoluetunniste","Vakiopuoluenumero","Listapuoluenumero","Vaaliliittonumero","Puolueen/ryhmän nimilyhenne suomeksi","Puolueen/ryhmän nimilyhenne ruotsiksi","Puolueen/ryhmän nimilyhenne englanniksi","Ehdokasnumero","alueen nimi suomeksi","alueen nimi ruotsiksi","Henkilön etunimi","Henkilön sukunimi","Sukupuoli","Ikä vaalipäivänä","Ammatti","Kotikunnan koodi","Kotikunnan nimi suomeksi","Kotikunnan nimi ruotsiksi","Ehdokkaan äidinkieli","Europarlamentaarikko","Kansanedustaja","Kunnanvaltuutettu","Maakuntavaltuutettu","Vaalitapahtuman nimilyhenne 1. vert.vaali","Ääniä 1. vertailuvaali","Ennakkoäänet lkm","Vaalipäivän äänet lkm","Äänet yhteensä lkm","Ennakkoäänet pros.","Vaalipäivän äänet pros.","Äänet yhteensä pros.","Valintatieto","Vertausluku","Sija","Lopullinen sija","Laskennan tila","Laskentavaihe","Tiedoston luontiaika","tmp","wikidata_qid_debug","wikipedia_birthyear","wikidata_birthyear","summary","wikidata_qid","grep_valintatieto"
"OUT","K","01","091","K","****","HEL","HEL","36","14","01","01","FP","FP","FP","0003","Helsinki","Helsingfors","Katju","Aro",2,"042","Feministisen puolueen puheenjohtaja, graafinen suunnittelija","091","Helsinki","Helsingfors","FI",null,null,null,null,"KV-2012","0000000","0000519","0001023","0001542","0004","0005","0005",1,"0004908000","0059","0059","V","A",20170410004023,null,"none",null,null,null,null,"valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0026","Helsinki","Helsingfors","Jan","Vapaavuori",1,"052","OTK, varapääjohtaja","091","Helsinki","Helsingfors","FI",null,null,null,null,"KV-2012","0007894","0014080","0015467","0029547","0113","0078","0091",1,"0091608000","0001","0001","V","A",20170410004023,null,"ok",null,null,null,"Q32219","valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0034","Helsinki","Helsingfors","Ted","Apter",1,"030","lakimies, työmarkkina- ja yhteiskuntapolitiikan asiamies","091","Helsinki","Helsingfors","SV",null,null,null,null,"KV-2012","0000578","0000194","0000439","0000633","0002","0002","0002",1,"0003817000","0079","0079","V","A",20170410004023,null,"none",null,null,null,null,"valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0036","Helsinki","Helsingfors","Sirpa","Asko-Seljavaara",2,"077","professori, kaupunginvaltuutettu","091","Helsinki","Helsingfors","FI",null,null,1,null,"KV-2012","0002250","0000796","0000483","0001279","0006","0002","0004",1,"0010178667","0026","0026","V","A",20170410004023,null,"ok",null,null,null,"Q3485303","valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0038","Helsinki","Helsingfors","Harry","Bogomoloff",1,"072","valtuuston varapuheenjohtaja, VTM","091","Helsinki","Helsingfors","SV",null,null,1,null,"KV-2012","0002220","0000578","0000863","0001441","0005","0004","0004",1,"0013086857","0019","0019","V","A",20170410004023,null,"ok",null,null,null,"Q11861647","valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0045","Helsinki","Helsingfors","Juha","Hakola",1,"049","ylikomisario, kaupunginvaltuutettu","091","Helsinki","Helsingfors","FI",null,null,1,null,"KV-2012","0002571","0000623","0000750","0001373","0005","0004","0004",1,"0011451000","0022","0022","V","A",20170410004023,null,"ok",null,null,null,"Q16298494","valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0048","Helsinki","Helsingfors","Joel","Harkimo",1,"027","yrittäjä","091","Helsinki","Helsingfors","SV",null,null,null,null,"KV-2012","0000000","0000276","0000972","0001248","0002","0005","0004",1,"0009160800","0030","0030","V","A",20170410004023,null,"none",null,null,null,null,"valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0067","Helsinki","Helsingfors","Atte","Kaleva",1,"038","sotatieteiden maisteri, kapteeni evp.","091","Helsinki","Helsingfors","FI",null,null,null,null,"KV-2012","0000000","0000362","0000773","0001135","0003","0004","0004",1,"0007634000","0037","0037","V","A",20170410004023,null,"fuzzy",1979,1979,"Atte Kaleva (s. 10. tammikuuta 1979 Salo) on suomalainen jihadismin tutkija ja kapteeni evp. Hän on aiemmin toiminut Porin prikaatissa varusmieskouluttajana: aliupseerikurssin joukkueenjohtajana ja vaunulinjan johtajana. Kaleva tuli tunnetuksi oltuaan panttivankina Jemenissä.","Q18632892","valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0072","Helsinki","Helsingfors","Arja","Karhuvaara",2,"062","kaupunginvaltuutettu, fysioterapiayrittäjä","091","Helsinki","Helsingfors","FI",null,null,1,null,"KV-2012","0001876","0000935","0001046","0001981","0008","0005","0006",1,"0015268000","0017","0017","V","A",20170410004023,null,"ok",null,null,null,"Q28778775","valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0079","Helsinki","Helsingfors","Tapio","Klemetti",1,"052","KTM, yrittäjä","091","Helsinki","Helsingfors","FI",null,null,null,null,"KV-2012","0000613","0000196","0000424","0000620","0002","0002","0002",1,"0003664320","0083","0083","V","A",20170410004023,null,"none",null,null,null,null,"valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0084","Helsinki","Helsingfors","Terhi","Koulumies",2,"046","valtiotieteiden maisteri, kaupunginvaltuutettu","091","Helsinki","Helsingfors","FI",null,null,1,null,"KV-2012","0001832","0001118","0002491","0003609","0009","0013","0011",1,"0030536000","0007","0007","V","A",20170410004023,null,"ok",null,null,null,"Q11896934","valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0089","Helsinki","Helsingfors","Heimo","Laaksonen",1,"066","yrittäjä, kotiseutuneuvos","091","Helsinki","Helsingfors","FI",null,null,null,null,"KV-2012","0000809","0000363","0000609","0000972","0003","0003","0003",1,"0006107200","0047","0047","V","A",20170410004023,null,"none",null,null,null,null,"valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0103","Helsinki","Helsingfors","Otto","Meri",1,"027","OTM, lakimies","091","Helsinki","Helsingfors","FI",null,null,null,null,"KV-2012","0000000","0000258","0000439","0000697","0002","0002","0002",1,"0004362286","0070","0070","V","A",20170410004023,null,"none",null,null,null,null,"valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0106","Helsinki","Helsingfors","Seija","Muurinen",2,"063","terveystieteiden tohtori, sairaanhoitaja-diakonissa","091","Helsinki","Helsingfors","FI",null,null,1,null,"KV-2012","0001688","0000647","0000523","0001170","0005","0003","0004",1,"0008328000","0035","0035","V","A",20170410004023,null,"ok",null,null,null,"Q28778780","valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0110","Helsinki","Helsingfors","Matti","Niiranen",1,"054","VTM, kaupunginvaltuutettu","091","Helsinki","Helsingfors","FI",null,null,1,null,"KV-2012","0000955","0000306","0000377","0000683","0002","0002","0002",1,"0004164000","0073","0073","V","A",20170410004023,null,"ok",null,null,null,"Q11881647","valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0113","Helsinki","Helsingfors","Mia","Nygård",2,"039","kategoriajohtaja, ETM","091","Helsinki","Helsingfors","FI",null,null,null,null,"KV-2012","0000000","0000195","0000613","0000808","0002","0003","0003",1,"0005089333","0057","0057","V","A",20170410004023,null,"none",null,null,null,null,"valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0117","Helsinki","Helsingfors","Jenni","Pajunen",2,"036","toimitusjohtaja, KTM","091","Helsinki","Helsingfors","FI",null,null,null,null,"KV-2012","0000000","0000260","0000659","0000919","0002","0003","0003",1,"0005388706","0054","0054","V","A",20170410004023,null,"none",null,null,null,null,"valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0119","Helsinki","Helsingfors","Pia","Pakarinen",2,"056","johtaja, kaupunginvaltuutettu, direktör, stadsfullmäktig","091","Helsinki","Helsingfors","FI",null,null,1,null,"KV-2012","0000956","0000420","0000580","0001000","0003","0003","0003",1,"0006543429","0043","0043","V","A",20170410004023,null,"ok",null,null,null,"Q28778783","valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0121","Helsinki","Helsingfors","Matti","Parpala",1,"030","toimitusjohtaja, Master in Public Policy","091","Helsinki","Helsingfors","FI",null,null,null,null,"KV-2012","0000000","0000225","0000427","0000652","0002","0002","0002",1,"0003982957","0077","0077","V","A",20170410004023,null,"fuzzy",1986,1986,"Matti Parpala on helsinkiläinen yritysjohtaja ja entinen ylioppilaspoliitikko. Parpala on toiminut Suomen ylioppilaskuntien liiton (SYL) puheenjohtajana vuonna 2010 ja pääsihteerinä vuosina 2011–2013. Ennen ylioppilaskuntien liiton johtoon siirtymistään hän toimi Helsingin kauppakorkeakoulun ylioppilaskunnan hallituksen puheenjohtajana.; Parpala on kauppatieteiden kandidaatti Aalto-yliopistosta, aineinaan kansantaloustiede ja liiketoiminnan teknologia. Lisäksi Parpala on valmistunut kaksivuotisesta Master of Public Policy -maisteriohjelmasta Harvardin yliopiston Kennedy School of Governmentista, Yhdysvalloista.","Q11881666","valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0123","Helsinki","Helsingfors","Jaana","Pelkonen",2,"040","kansanedustaja, VTM","091","Helsinki","Helsingfors","FI",null,1,1,null,"KV-2012","0003156","0002229","0004237","0006466","0018","0021","0020",1,"0045804000","0003","0003","V","A",20170410004023,null,"ok",null,null,null,"Q233299","valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0127","Helsinki","Helsingfors","Risto","Rautava",1,"062","kaupunginvaltuutettu, asiantuntijayrittäjä","091","Helsinki","Helsingfors","FI",null,null,1,null,"KV-2012","0001222","0000314","0000393","0000707","0003","0002","0002",1,"0004821474","0061","0061","V","A",20170410004023,null,"ok",null,null,null,"Q28778792","valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0132","Helsinki","Helsingfors","Wille","Rydman",1,"031","kansanedustaja, VTM","091","Helsinki","Helsingfors","FI",null,1,1,null,"KV-2012","0002241","0001255","0002171","0003426","0010","0011","0011",1,"0022902000","0009","0009","V","A",20170410004023,null,"ok",null,null,null,"Q11902424","valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0135","Helsinki","Helsingfors","Mirita","Saxberg",2,"034","hallintotieteiden maisteri, liiketalouden opettaja, förvaltningsmagister, lärare i företagsekonomi","091","Helsinki","Helsingfors","SV",null,null,null,null,"KV-2012","0000000","0000154","0000544","0000698","0001","0003","0002",1,"0004580400","0065","0065","V","A",20170410004023,null,"none",null,null,null,null,"valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0136","Helsinki","Helsingfors","Daniel","Sazonov",1,"024","Kokoomusnuorten pj, oikeustieteen ja tekniikan yo","091","Helsinki","Helsingfors","FI",null,null,null,null,"KV-2012","0000000","0000296","0000649","0000945","0002","0003","0003",1,"0005725500","0050","0050","V","A",20170410004023,null,"none",null,null,null,null,"valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0145","Helsinki","Helsingfors","Ulla Marja","Urho",2,"069","maat. ja metsät. maisteri, kaupunginvaltuutettu","091","Helsinki","Helsingfors","FI",null,null,1,null,"KV-2012","0001579","0000605","0000530","0001135","0005","0003","0004",1,"0007046769","0042","0042","V","A",20170410004023,null,"none",null,null,null,null,"valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","4","02","02","02","KOK","SAML","NCP","0149","Helsinki","Helsingfors","Juhana","Vartiainen",1,"058","kansanedustaja, VTT","091","Helsinki","Helsingfors","FI",null,1,null,null,"KV-2012","0000000","0000784","0001277","0002061","0006","0006","0006",1,"0018321600","0014","0014","V","A",20170410004023,null,"fuzzy",1958,1958,"Juhana Mikael Vartiainen (s. 28. toukokuuta 1958 Helsinki) on suomalainen kansanedustaja. Hänet valittiin eduskuntaan vuoden 2015 vaaleissa. Ennen poliittista uraansa Vartiainen oli Valtion taloudellisen tutkimuskeskuksen (VATT) ylijohtaja.","Q11867451","valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","5","07","03","03","RKP","SFP","SPP","0158","Helsinki","Helsingfors","Eva","Biaudet",2,"056","riksdagsledamot, kansanedustaja","091","Helsinki","Helsingfors","SV",null,1,null,null,"KV-2012","0000000","0001626","0001957","0003583","0013","0010","0011",1,"0018835000","0013","0013","V","A",20170410004023,null,"fuzzy",null,1961,null,"Q293122","valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","5","07","03","03","RKP","SFP","SPP","0161","Helsinki","Helsingfors","Silja","Borgarsdóttir Sandelin",2,"032","pol.mag., politiskt sakkunnig, VTM, poliittinen asiantuntija","091","Helsinki","Helsingfors","98",null,null,null,null,"KV-2012","0000244","0000349","0000617","0000966","0003","0003","0003",1,"0003767000","0080","0080","V","A",20170410004023,null,"fuzzy",1985,1985,"Silja Borgarsdóttir Sandelin (s. 4. tammikuuta 1985 Helsinki) on suomenruotsalainen SM-tason käsipallopelaaja ja Ruotsalaisen kansanpuolueen poliitikko.; Sandelinilla on Suomen ja Islannin kansalaisuus. Äiti, filosofian maisteri Ann Sandelin, on toiminut Yleisradion ruotsinkielisen ohjelmatoiminnan johtajana ja isä, Borgar Garðarsson, on näyttelijä.; Sandelin on valmistunut valtiotieteiden kandidaatiksi Åbo Akademissa ja on myös istunut Åbo Akademin hallituksessa.","Q4976844","valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","5","07","03","03","RKP","SFP","SPP","0164","Helsinki","Helsingfors","Jörn","Donner",1,"084","författare, kirjailija","091","Helsinki","Helsingfors","SV",null,null,null,null,"KV-2012","0000000","0000353","0000616","0000969","0003","0003","0003",1,"0004708750","0062","0062","V","A",20170410004023,null,"fuzzy",1933,1933,"Jörn Johan Donner (s. 5. helmikuuta 1933 Helsinki) on ruotsinkielinen suomalainen kirjailija, elokuvaohjaaja, kansanedustaja sekä entinen Euroopan parlamentin jäsen ja diplomaatti.; Kulttuurisena moniottelijana tunnettu Donner julkaisi esikoiskirjansa jo 18-vuotiaana, ohjasi ensimmäisen lyhytelokuvansa 21-vuotiaana, perusti Suomen elokuva-arkistoa 24-vuotiaana, pääsi Pohjolan suurimman päivälehden Dagens Nyheterin elokuvakriitikoksi 27-vuotiaana ja palkittiin Venetsian elokuvajuhlilla parhaasta esikoisohjauksesta 30-vuotiaana. Hän on ainoa suomalainen, joka on noutanut Oscar-palkinnon.; Suomen pääkonsulina Los Angelesissa Jörn Donner palveli vuosina 1995–1996.","Q982339","valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","5","07","03","03","RKP","SFP","SPP","0203","Helsinki","Helsingfors","Björn","Månsson",1,"064","journalist","091","Helsinki","Helsingfors","SV",null,null,1,null,"KV-2012","0001002","0000800","0001150","0001950","0006","0006","0006",1,"0006278333","0046","0046","V","A",20170410004023,null,"ok",null,null,null,"Q5975330","valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","5","07","03","03","RKP","SFP","SPP","0213","Helsinki","Helsingfors","Marcus","Rantala",1,"039","pol.mag., partner, VTM, osakas","091","Helsinki","Helsingfors","SV",null,null,1,null,"KV-2012","0001786","0001253","0001294","0002547","0010","0007","0008",1,"0009417500","0028","0028","V","A",20170410004023,null,"ok",null,null,null,"Q28778816","valintatieto:1"
"OUT","K","01","091","K","****","HEL","HEL","15","06","04","04","VAS","VÄNST","LEFT","0241","Helsinki","Helsingfors","Paavo","Arhinmäki",1,"040","kansanedustaja, riksdagsledamot","091","Helsinki","Helsingfors","FI",null,1,1,null,"KV-2012","0006467","0001977","0003293","0005270","0016","0017","0016",1,"0036066000","0006","0006","V","A",20170410004023,null,"ok",null,null,null,"Q657282","valintatieto:1"
